ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
202311_s_at	2.07e-27	9.30e-32	16.8403961	61.62611	2.98980035	COL1A1	collagen type I alpha 1 chain
219787_s_at	3.75e-27	3.37e-31	16.5619238	60.363973	2.11231745	ECT2	epithelial cell transforming 2
201897_s_at	5.02e-27	6.75e-31	16.4123242	59.681729	1.52887923	CKS1B	CDC28 protein kinase regulatory subunit 1B
204023_at	1.68e-26	3.02e-30	16.0924115	58.212975	1.71651575	RFC4	replication factor C subunit 4
200037_s_at	2.36e-26	5.82e-30	15.9526024	57.566926	1.12250707	CBX3	chromobox 3
203417_at	2.36e-26	6.36e-30	15.9340048	57.480797	1.69128478	MFAP2	microfibrillar associated protein 2
204475_at	4.31e-25	1.35e-28	15.2910814	54.476141	4.44256449	MMP1	matrix metallopeptidase 1
202107_s_at	7.82e-25	2.81e-28	15.1391797	53.758624	1.43484714	MCM2	minichromosome maintenance complex component 2
221538_s_at	2.07e-24	8.34e-28	14.91367	52.688146	1.32309321	PLXNA1	plexin A1
206364_at	7.10e-24	3.19e-27	14.6376587	51.369498	1.29683566	KIF14	kinesin family member 14
205479_s_at	1.18e-23	5.84e-27	14.5137653	50.77462	1.99401299	PLAU	plasminogen activator, urokinase
210559_s_at	1.95e-23	1.16e-26	14.3732349	50.097662	1.54320426	CDK1	cyclin dependent kinase 1
202310_s_at	1.95e-23	1.19e-26	14.3677741	50.07131	3.05135253	COL1A1	collagen type I alpha 1 chain
218355_at	1.95e-23	1.22e-26	14.362717	50.046903	1.39017149	KIF4A	kinesin family member 4A
201091_s_at	5.35e-23	3.60e-26	14.1427923	48.982605	1.24729728	CBX3	chromobox 3
202404_s_at	5.56e-23	4.29e-26	14.1076579	48.812062	2.69830082	COL1A2	collagen type I alpha 2 chain
64440_at	5.56e-23	4.38e-26	-14.1032973	48.790885	-0.46228528	IL17RC	interleukin 17 receptor C
201535_at	5.56e-23	4.49e-26	-14.0981667	48.765967	-1.32504294	UBL3	ubiquitin like 3
218542_at	8.77e-23	7.48e-26	13.9949402	48.263984	1.84585707	CEP55	centrosomal protein 55
203845_at	1.13e-22	1.03e-25	-13.9305034	47.950025	-1.79919514	KAT2B	lysine acetyltransferase 2B
207011_s_at	1.13e-22	1.10e-25	13.9166271	47.882354	1.0168005	PTK7	protein tyrosine kinase 7 (inactive)
220753_s_at	1.13e-22	1.12e-25	-13.9139591	47.869341	-0.89007122	CRYL1	crystallin lambda 1
212285_s_at	1.52e-22	1.57e-25	13.8455457	47.535376	1.09045025	AGRN	agrin
202666_s_at	1.52e-22	1.64e-25	13.8362151	47.489788	1.23690574	ACTL6A	actin like 6A
212510_at	2.07e-22	2.32e-25	-13.7662058	47.147427	-1.3030074	GPD1L	glycerol-3-phosphate dehydrogenase 1-like
202954_at	3.03e-22	3.55e-25	13.6813469	46.731733	1.30783798	UBE2C	ubiquitin conjugating enzyme E2 C
213139_at	3.03e-22	3.67e-25	13.6744215	46.697774	2.20194806	SNAI2	snail family transcriptional repressor 2
201614_s_at	3.10e-22	3.90e-25	13.6621968	46.637816	0.9533241	RUVBL1	RuvB like AAA ATPase 1
219431_at	3.53e-22	4.59e-25	-13.6293653	46.47671	-0.70349081	ARHGAP10	Rho GTPase activating protein 10
214279_s_at	4.34e-22	5.85e-25	-13.5809268	46.238809	-1.41476547	NDRG2	NDRG family member 2
211725_s_at	4.41e-22	6.13e-25	13.5713165	46.191579	0.95343301	BID	BH3 interacting domain death agonist
201930_at	4.51e-22	6.48e-25	13.5604129	46.137982	1.26736465	MCM6	minichromosome maintenance complex component 6
207828_s_at	5.38e-22	7.97e-25	13.5188293	45.93346	1.26861129	CENPF	centromere protein F
202580_x_at	5.87e-22	8.95e-25	13.4955652	45.818959	1.53365472	FOXM1	forkhead box M1
203755_at	5.99e-22	9.41e-25	13.4856592	45.770187	1.49520442	BUB1B	BUB1 mitotic checkpoint serine/threonine kinase B
206558_at	6.10e-22	9.86e-25	-13.4762434	45.723819	-1.51375963	SIM2	single-minded family bHLH transcription factor 2
206656_s_at	7.07e-22	1.17e-24	13.4415318	45.552802	1.10892945	APMAP	adipocyte plasma membrane associated protein
200644_at	9.79e-22	1.67e-24	13.3711165	45.205496	1.32762906	MARCKSL1	MARCKS like 1
221926_s_at	1.16e-21	2.04e-24	-13.3313868	45.009314	-0.64293257	IL17RC	interleukin 17 receptor C
205530_at	1.28e-21	2.29e-24	-13.3079749	44.893633	-0.76835372	ETFDH	electron transfer flavoprotein dehydrogenase
203214_x_at	1.49e-21	2.75e-24	13.2717534	44.714547	1.2427838	CDK1	cyclin dependent kinase 1
202483_s_at	2.50e-21	4.71e-24	13.1645995	44.183989	1.06767373	RANBP1	RAN binding protein 1
208029_s_at	2.70e-21	5.21e-24	13.1442858	44.08328	1.64379042	LAPTM4B	lysosomal protein transmembrane 4 beta
202246_s_at	3.36e-21	6.64e-24	13.096139	43.84442	0.98655959	CDK4	cyclin dependent kinase 4
204284_at	3.52e-21	7.10e-24	-13.0828114	43.77826	-2.74968345	PPP1R3C	protein phosphatase 1 regulatory subunit 3C
211548_s_at	3.57e-21	7.37e-24	-13.0754512	43.741717	-2.6465719	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)
212255_s_at	5.06e-21	1.09e-23	12.9978895	43.356297	0.8441264	ATP2C1	ATPase secretory pathway Ca2+ transporting 1
203914_x_at	5.06e-21	1.09e-23	-12.9978029	43.355866	-2.20712607	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)
41644_at	5.51e-21	1.21e-23	-12.9770507	43.252646	-1.38616358	SASH1	SAM and SH3 domain containing 1
218350_s_at	5.92e-21	1.33e-23	12.9586092	43.160885	1.31387638	GMNN	geminin, DNA replication inhibitor
214039_s_at	7.09e-21	1.62e-23	12.9190248	42.963812	1.34777673	LAPTM4B	lysosomal protein transmembrane 4 beta
208639_x_at	7.66e-21	1.79e-23	12.9000744	42.869414	0.81135832	PDIA6	protein disulfide isomerase family A member 6
203675_at	7.96e-21	1.89e-23	-12.8886938	42.812708	-1.98512044	NUCB2	nucleobindin 2
202854_at	9.23e-21	2.24e-23	12.8555803	42.647643	1.16487763	HPRT1	hypoxanthine phosphoribosyltransferase 1
210052_s_at	9.62e-21	2.37e-23	12.8438842	42.589316	1.26543565	TPX2	TPX2, microtubule nucleation factor
211885_x_at	9.96e-21	2.50e-23	-12.8333188	42.536617	-2.11542109	FUT6	fucosyltransferase 6
218262_at	1.02e-20	2.64e-23	-12.8228594	42.484436	-1.31955607	RMND5B	required for meiotic nuclear division 5 homolog B
217914_at	1.02e-20	2.64e-23	-12.8225934	42.483109	-0.77409325	TPCN1	two pore segment channel 1
213236_at	1.13e-20	2.99e-23	-12.7981529	42.361138	-1.69765712	SASH1	SAM and SH3 domain containing 1
200064_at	1.19e-20	3.19e-23	12.7853151	42.297049	0.72593365	HSP90AB1	heat shock protein 90 alpha family class B member 1
201189_s_at	1.37e-20	3.76e-23	12.7532828	42.137071	1.13011135	ITPR3	inositol 1,4,5-trisphosphate receptor type 3
201292_at	1.41e-20	3.96e-23	12.7426789	42.084091	2.00422697	TOP2A	topoisomerase (DNA) II alpha
203764_at	1.41e-20	4.00e-23	12.7407409	42.074408	1.40787911	DLGAP5	DLG associated protein 5
217419_x_at	1.41e-20	4.05e-23	12.7386022	42.063721	1.02869575	AGRN	agrin
207668_x_at	1.43e-20	4.18e-23	12.7321923	42.031688	0.80036878	PDIA6	protein disulfide isomerase family A member 6
208079_s_at	1.53e-20	4.52e-23	12.7168698	41.955101	1.26013958	AURKA	aurora kinase A
209875_s_at	1.59e-20	4.78e-23	12.7055212	41.898364	3.18709307	SPP1	secreted phosphoprotein 1
201564_s_at	1.65e-20	5.03e-23	12.6955071	41.848289	1.61583216	FSCN1	fascin actin-bundling protein 1
206102_at	1.95e-20	6.05e-23	12.6592667	41.666994	1.55382852	GINS1	GINS complex subunit 1
203571_s_at	2.28e-20	7.15e-23	-12.6264423	41.502689	-1.90394354	ADIRF	adipogenesis regulatory factor
204288_s_at	2.47e-20	7.86e-23	-12.6078613	41.409638	-1.33725515	SORBS2	sorbin and SH3 domain containing 2
218755_at	3.38e-20	1.09e-22	12.542916	41.084165	1.1335819	KIF20A	kinesin family member 20A
212058_at	3.70e-20	1.22e-22	12.5212297	40.975404	1.25358559	U2SURP	U2 snRNP associated SURP domain containing
